Score,City,X,Y,Name,Type_1,City_1,FullAddres
100,Albuquerque,-106.5819872,35.05840234,99 BANH ORIENTAL SUPERMARKET,Large Grocery Store,Albuquerque,5315 Gibson Blvd SE
100,Albuquerque,-106.5819872,35.05840234,999 Seafood Supermarket Inc.,Combination Grocery/Other,Albuquerque,5315 Gibson Blvd Se
100,Albuquerque,-106.577459,35.10969395,A Smoke Grocer Store,Combination Grocery/Other,Albuquerque,2325 San Pedro Dr NE
100,Albuquerque,-106.5506486,35.09582533,A-1 ORIENTAL MARKET,Combination Grocery/Other,Albuquerque,1410F Wyoming Blvd NE
100,Albuquerque,-106.5772787,35.13091493,A-1 Oriental Market,Combination Grocery/Other,Albuquerque,6207 Montgomery Blvd NE
100,Albuquerque,-106.6795064,35.03758256,Abq Beef Jerky,Meat/Poultry Specialty,Albuquerque,2531 Isleta Blvd SW
98.06,Albuquerque,-106.5688106,35.09970769,Abq Uptown Growers Market,Farmers' Market,Albuquerque,Uptown Loop Rd
100,Albuquerque,-106.5596612,35.07497636,Adam Market Llc,Small Grocery Store,Albuquerque,7817 Central Ave NE
100,Albuquerque,-106.5194613,35.10894377,Al Amana Market Inc,Meat/Poultry Specialty,Albuquerque,10700 Menaul Blvd NE
100,Albuquerque,-106.5194613,35.10894377,Al Amana Market Inc,Meat/Poultry Specialty,Albuquerque,10700 Menaul Blvd NE
100,Albuquerque,-106.7024044,35.08808827,AL'S QUALITY MEAT COMPANY,Meat/Poultry Specialty,Albuquerque,5601 Bluewater Rd NW
100,Albuquerque,-106.5153398,35.10149746,Aladdin Halal Market Inc,Small Grocery Store,Albuquerque,1720 Juan Tabo Blvd NE
100,Albuquerque,-106.5153398,35.10149746,Aladdin Halal Market Inc,Small Grocery Store,Albuquerque,1720 Juan Tabo Blvd NE
100,Albuquerque,-106.5153398,35.10149746,Aladdin Halal Market Inc,Small Grocery Store,Albuquerque,1720 Juan Tabo Blvd NE
100,Albuquerque,-106.5153398,35.10149746,Aladdin Market Llc,Medium Grocery Store,Albuquerque,1720 Juan Tabo Blvd NE
99.13,Albuquerque,-106.6987761,35.14073835,ALBERTSON'S 915,Supermarket,ALBUQUERQUE,6200 Coors Blvd NW
100,Albuquerque,-106.5155792,35.11547385,ALBERTSON'S 905,Supermarket,Albuquerque,2910 Juan Tabo Blvd NE
100,Albuquerque,-106.5421809,35.17601775,ALBERTSON'S 924,Supermarket,Albuquerque,8100 Ventura St NE
99.17,Albuquerque,-106.5509181,35.12920798,ALBERTSON'S 906,Supermarket,ALBUQUERQUE,4401 WYOMING BLVD NE
100,Albuquerque,-106.4999571,35.06841639,ALBERTSON'S 908,Supermarket,Albuquerque,13150 Central Ave SE
100,Albuquerque,-106.4980172,35.08637185,ALBERTSON'S 910,Supermarket,Albuquerque,13201 Lomas Blvd NE
100,Albuquerque,-106.569396,35.13065725,ALBERTSONS 904,Supermarket,Albuquerque,4950 Montgomery Blvd NE
97.06,Albuquerque,-106.5914358,35.07287439,ALBERTSONS  912,Supermarket,ALBUQUERQUE,5555 ZUNI SE
100,Albuquerque,-106.5154537,35.108344,ALBERTSONS  905,Supermarket,Albuquerque,2200 Juan Tabo Blvd NE
99.17,Albuquerque,-106.5509181,35.12920798,ALBERTSONS  906,Supermarket,ALBUQUERQUE,4401 WYOMING BLVD NE
100,Albuquerque,-106.5165929,35.08686879,ALBERTSONS 928,Supermarket,Albuquerque,11825 Lomas Blvd NE
100,Albuquerque,-106.5328236,35.10129528,Albertsons 911,Supermarket,Albuquerque,2801 Eubank Blvd NE
99.13,Albuquerque,-106.6987761,35.14073835,ALBERTSONS  915,Supermarket,ALBUQUERQUE,6200 COORS BLVD NW
100,Albuquerque,-106.6430156,35.20715915,ALBERTSONS 937,Supermarket,Albuquerque,10131 Coors Blvd NW
100,Albuquerque,-106.6814459,35.02694564,ALBERTSONS 917,Supermarket,Albuquerque,1625 Rio Bravo Blvd SW
100,Albuquerque,-106.5600196,35.16014422,ALBERTSONS  938,Supermarket,Albuquerque,7101 Wyoming Blvd NE
100,Albuquerque,-106.7068582,35.08068909,ALBERTSONS 922,Supermarket,Albuquerque,6600 Central Ave SW
