Score,City,X,Y,Name,Type_1,city,county,FullAddress
96.52,Arenas Valley,-108.1935144,32.77796141,LAMBONZ MEATS,Meat/Poultry Specialty,ABENAS VALLEY,GRANT,#3 RIO DE ARENAS
100,Abiquiu,-106.320369,36.20464584,Abiquiu Farmers Market,Farmers' Market,Abiquiu,RIO ARRIBA,2 County Road 187
98.75,Abiquiu,-106.3208849,36.20940025,Family Dollar 11508,Combination Grocery/Other,Abiquiu,RIO ARRIBA,20967 US 84
88.4,Magdalena,-107.235658,34.11015799,ALAMO TRADING POST,Medium Grocery Store,Alamo,SOCORRO,HWY 169 ALAMO RESERVATION
90.54,Magdalena,-107.4912563,34.40759663,Tiistsoh Mini Mart,Small Grocery Store,Alamo,SOCORRO,NM Hwy 169 & BIA RT N706
96.27,Alamogordo,-105.9247599,32.90785622,AIKO'S ORIENTAL FOODS,Combination Grocery/Other,Alamogordo,OTERO,781 GRANADA CENTER
100,Alamogordo,-105.9523544,32.91682798,ALAMO THRIFTWAY,Supermarket,Alamogordo,OTERO,2111 N Florida Ave
100,Alamogordo,-105.9605779,32.9136235,Alamogordo Alameda Park Farmers' Market,Farmers' Market,Alamogordo,OTERO,1987 N White Sands Blvd
100,Alamogordo,-105.9523544,32.91682798,ALAMOGORDO BIG 8 SUPER MKT,Supermarket,Alamogordo,OTERO,2111 N Florida Ave
97.9,Alamogordo,-105.9602737,32.89956066,Alamogordo Farmers’ Market,Farmers' Market,Alamogordo,OTERO,1503 White Sands Blvd
96.82,Alamogordo,-105.9659251,32.89972212,Albertson's Market 681,Supermarket,Alamogordo,OTERO,1300 E 10th St
96.82,Alamogordo,-105.9659251,32.89972212,ALBERTSONS  918,Supermarket,Alamogordo,OTERO,150 E 10TH ST
100,Alamogordo,-105.9523544,32.91682798,BIG 8 FOOD PLAZA,Supermarket,Alamogordo,OTERO,2111 N Florida Ave
100,Alamogordo,-105.9602737,32.89956066,Big Lots 4744,Combination Grocery/Other,Alamogordo,OTERO,3199 N White Sands Blvd
96.95,Alamogordo,-105.981485,32.8563172,CHACO'S SEAFOOD,Seafood Specialty,Alamogordo,OTERO,301 WHITE SANDS
100,Alamogordo,-105.994736,33.01040149,Chef Lupes at Alamo Rosa,Small Grocery Store,Alamogordo,OTERO,7401 Highway 54 70
100,Alamogordo,-105.9655125,32.93809655,CONTINENTAL MEAT&SAUSAGE,Meat/Poultry Specialty,Alamogordo,OTERO,3489 N White Sands Blvd
100,Alamogordo,-105.939995,32.89992598,Dollar Discount,Combination Grocery/Other,Alamogordo,OTERO,1711B 10th St
100,Alamogordo,-105.9602199,32.87899356,Dollar General 6427,Combination Grocery/Other,Alamogordo,OTERO,105 S White Sands Blvd
100,Alamogordo,-105.9606055,32.9167475,Dollar General 6570,Combination Grocery/Other,Alamogordo,OTERO,2241 N White Sands Blvd
100,Alamogordo,-105.9366538,32.88831086,Dollar General 13112,Combination Grocery/Other,Alamogordo,OTERO,1325 1st St
100,Alamogordo,-105.9448301,32.91519042,DOLLAR GENERAL 14122,Combination Grocery/Other,Alamogordo,OTERO,1714 Indian Wells Rd
100,Alamogordo,-105.9858575,32.97394505,Dollar General 16043,Combination Grocery/Other,Alamogordo,OTERO,1 La Luz Gate Rd
98.91,Alamogordo,-105.9656034,32.93552833,DOLLAR GENERAL 18689,Combination Grocery/Other,Alamogordo,OTERO,4100 N Scenic Dr
100,Alamogordo,-105.9873008,32.80033746,DOLLAR GENERAL 18864,Combination Grocery/Other,Alamogordo,OTERO,4 Southend Rd
96.82,Alamogordo,-105.9659251,32.89972212,Dollar General 24579,Combination Grocery/Other,Alamogordo,OTERO,2000 E 10th St
100,Alamogordo,-105.9366538,32.88831086,Dollar Tree 3198,Combination Grocery/Other,Alamogordo,OTERO,516 1st St
100,Alamogordo,-105.9523544,32.91682798,DOLLARTREE 6943,Combination Grocery/Other,Alamogordo,OTERO,2107 N Florida Ave
100,Alamogordo,-105.9434965,32.90130001,EARTHGRAINS/SARA LEE BAKERY  8,Bakery Specialty,Alamogordo,OTERO,1110 Washington Ave
100,Alamogordo,-105.9777327,32.97486485,Family Dollar 11502,Combination Grocery/Other,Alamogordo,OTERO,216 Alamo St
100,Alamogordo,-105.9909513,32.86269978,Family Dollar 11539,Combination Grocery/Other,Alamogordo,OTERO,1300 Highway 70 W
100,Alamogordo,-105.9521915,32.89981967,Family Dollar Store 2733,Combination Grocery/Other,Alamogordo,OTERO,810 10th St
100,Alamogordo,-105.939995,32.89992598,FIELD FRESH FRUIT MARKET INC,Fruits/Veg Specialty,Alamogordo,OTERO,1711 10th St
100,Alamogordo,-106.0051885,32.90096961,J & L FARMS,Meat/Poultry Specialty,Alamogordo,OTERO,101 Phillips Ave
99.08,Alamogordo,-105.9602737,32.89956066,Kmart 9119,Super Store,Alamogordo,OTERO,3210 N White Sands Blvd
98.79,Alamogordo,-105.9549905,32.89980359,Lowe's Signature 55,Super Store,Alamogordo,OTERO,675 E 10th St
100,Alamogordo,-105.9591837,32.89503234,NATURE'S PANTRY,Unknown,Alamogordo,OTERO,915 New York Ave
100,Alamogordo,-105.9591837,32.89503234,NATURE'S PANTRY,Unknown,Alamogordo,OTERO,915 New York Ave
100,Alamogordo,-105.9591837,32.89503234,NATURE'S PANTRY LIMITED,Medium Grocery Store,Alamogordo,OTERO,915 New York Ave
100,Alamogordo,-105.9798157,32.80956619,OLD COUNTRY STORE,Small Grocery Store,Alamogordo,OTERO,20A Suzy Ana
100,Alamogordo,-105.9798157,32.80956619,OLD COUNTRY STORE,Small Grocery Store,Alamogordo,OTERO,20A Suzy Ana
100,Alamogordo,-105.9549905,32.89980359,PT ENTERPRISES,Unknown,Alamogordo,OTERO,622 10th St
100,Alamogordo,-105.9434965,32.90130001,RAINBO BAKING CO.  356,Bakery Specialty,Alamogordo,OTERO,1110 Washington Ave
100,Alamogordo,-105.9549905,32.89980359,SMITH'S #452,Supermarket,Alamogordo,OTERO,675 10th St
100,Alamogordo,-105.9448301,32.91519042,THE BUTCHER SHOP,Meat/Poultry Specialty,Alamogordo,OTERO,1606 Indian Wells Rd
100,Alamogordo,-105.9523544,32.91682798,VAN WINKLE'S IGA,Supermarket,Alamogordo,OTERO,2111 N Florida Ave
100,Alamogordo,-105.9549905,32.89980359,VAN WINKLES FARMERS MKT # 1,Supermarket,Alamogordo,OTERO,675 10th St
100,Alamogordo,-105.9549905,32.89980359,VAN WINKLES FARMERS MKT # 1,Supermarket,Alamogordo,OTERO,675 10th St
100,Alamogordo,-105.9603057,32.89922848,WALGREENS 9991,Combination Grocery/Other,Alamogordo,OTERO,955 N White Sands Blvd
98.97,Alamogordo,-105.9591084,32.88860852,Walmart 1306,Super Store,Alamogordo,OTERO,233 S New York Ave
99.08,Alamogordo,-105.9448301,32.91519042,Walmart Neighborhood Market 5726,Super Store,Alamogordo,OTERO,2401 INDIAN WELLS ROAD
97.13,Albuquerque,-106.7416543,35.06408465,Fruteria Cuahtemoc,Small Grocery Store,Albuquerque,BERNALILLO,801 98th St SW
94.7,Albuquerque,-106.6201144,35.13537633,RAINBO BAKERY STORE #1,Bakery Specialty,Albuquerque,BERNALILLO,111 MONTANO RD. NE
95.26,Albuquerque,-106.5423306,35.17295071,FURRS  871,Supermarket,Albuquerque,BERNALILLO,81100 VENTURA
97.6,Albuquerque,-106.6231753,35.10924419,DEE'S DENTED CAN,Fruits/Veg Specialty,Albuquerque,BERNALILLO,2424 MENAUL BLVD NE
100,Albuquerque,-106.5819872,35.05840234,99 BANH ORIENTAL SUPERMARKET,Large Grocery Store,Albuquerque,BERNALILLO,5315 Gibson Blvd SE
100,Albuquerque,-106.5819872,35.05840234,999 Seafood Supermarket Inc.,Combination Grocery/Other,Albuquerque,BERNALILLO,5315 Gibson Blvd Se
100,Albuquerque,-106.577459,35.10969395,A Smoke Grocer Store,Combination Grocery/Other,Albuquerque,BERNALILLO,2325 San Pedro Dr NE
100,Albuquerque,-106.5506486,35.09582533,A-1 ORIENTAL MARKET,Combination Grocery/Other,Albuquerque,BERNALILLO,1410F Wyoming Blvd NE
100,Albuquerque,-106.5772787,35.13091493,A-1 Oriental Market,Combination Grocery/Other,Albuquerque,BERNALILLO,6207 Montgomery Blvd NE
100,Albuquerque,-106.6795064,35.03758256,Abq Beef Jerky,Meat/Poultry Specialty,Albuquerque,BERNALILLO,2531 Isleta Blvd SW
98.06,Albuquerque,-106.5688106,35.09970769,Abq Uptown Growers Market,Farmers' Market,Albuquerque,BERNALILLO,Uptown Loop Rd
100,Albuquerque,-106.5596612,35.07497636,Adam Market Llc,Small Grocery Store,Albuquerque,BERNALILLO,7817 Central Ave NE
100,Albuquerque,-106.5194613,35.10894377,Al Amana Market Inc,Meat/Poultry Specialty,Albuquerque,BERNALILLO,10700 Menaul Blvd NE
100,Albuquerque,-106.5194613,35.10894377,Al Amana Market Inc,Meat/Poultry Specialty,Albuquerque,BERNALILLO,10700 Menaul Blvd NE
100,Albuquerque,-106.7024044,35.08808827,AL'S QUALITY MEAT COMPANY,Meat/Poultry Specialty,Albuquerque,BERNALILLO,5601 Bluewater Rd NW
100,Albuquerque,-106.5153398,35.10149746,Aladdin Halal Market Inc,Small Grocery Store,Albuquerque,BERNALILLO,1720 Juan Tabo Blvd NE
100,Albuquerque,-106.5153398,35.10149746,Aladdin Halal Market Inc,Small Grocery Store,Albuquerque,BERNALILLO,1720 Juan Tabo Blvd NE
100,Albuquerque,-106.5153398,35.10149746,Aladdin Halal Market Inc,Small Grocery Store,Albuquerque,BERNALILLO,1720 Juan Tabo Blvd NE
100,Albuquerque,-106.5153398,35.10149746,Aladdin Market Llc,Medium Grocery Store,Albuquerque,BERNALILLO,1720 Juan Tabo Blvd NE
99.13,Albuquerque,-106.6987761,35.14073835,ALBERTSON'S 915,Supermarket,Albuquerque,BERNALILLO,6200 Coors Blvd NW
100,Albuquerque,-106.5155792,35.11547385,ALBERTSON'S 905,Supermarket,Albuquerque,BERNALILLO,2910 Juan Tabo Blvd NE
100,Albuquerque,-106.5421809,35.17601775,ALBERTSON'S 924,Supermarket,Albuquerque,BERNALILLO,8100 Ventura St NE
99.17,Albuquerque,-106.5509181,35.12920798,ALBERTSON'S 906,Supermarket,Albuquerque,BERNALILLO,4401 WYOMING BLVD NE
100,Albuquerque,-106.4999571,35.06841639,ALBERTSON'S 908,Supermarket,Albuquerque,BERNALILLO,13150 Central Ave SE
100,Albuquerque,-106.4980172,35.08637185,ALBERTSON'S 910,Supermarket,Albuquerque,BERNALILLO,13201 Lomas Blvd NE
100,Albuquerque,-106.569396,35.13065725,ALBERTSONS 904,Supermarket,Albuquerque,BERNALILLO,4950 Montgomery Blvd NE
97.06,Albuquerque,-106.5914358,35.07287439,ALBERTSONS  912,Supermarket,Albuquerque,BERNALILLO,5555 ZUNI SE
100,Albuquerque,-106.5154537,35.108344,ALBERTSONS  905,Supermarket,Albuquerque,BERNALILLO,2200 Juan Tabo Blvd NE
99.17,Albuquerque,-106.5509181,35.12920798,ALBERTSONS  906,Supermarket,Albuquerque,BERNALILLO,4401 WYOMING BLVD NE
100,Albuquerque,-106.5165929,35.08686879,ALBERTSONS 928,Supermarket,Albuquerque,BERNALILLO,11825 Lomas Blvd NE
100,Albuquerque,-106.5328236,35.10129528,Albertsons 911,Supermarket,Albuquerque,BERNALILLO,2801 Eubank Blvd NE
99.13,Albuquerque,-106.6987761,35.14073835,ALBERTSONS  915,Supermarket,Albuquerque,BERNALILLO,6200 COORS BLVD NW
100,Albuquerque,-106.6430156,35.20715915,ALBERTSONS 937,Supermarket,Albuquerque,BERNALILLO,10131 Coors Blvd NW
100,Albuquerque,-106.6814459,35.02694564,ALBERTSONS 917,Supermarket,Albuquerque,BERNALILLO,1625 Rio Bravo Blvd SW
100,Albuquerque,-106.5600196,35.16014422,ALBERTSONS  938,Supermarket,Albuquerque,BERNALILLO,7101 Wyoming Blvd NE
100,Albuquerque,-106.7068582,35.08068909,ALBERTSONS 922,Supermarket,Albuquerque,BERNALILLO,6600 Central Ave SW
100,Albuquerque,-106.4999571,35.06841639,ALBERTSONS  923,Supermarket,Albuquerque,BERNALILLO,13150 Central Ave SE
100,Albuquerque,-106.4997549,35.15242759,ALBERTSONS 939,Supermarket,Albuquerque,BERNALILLO,12201 Academy Rd NE
100,Albuquerque,-106.648757,35.09951662,Albuquerque Beef Jerky Company,Meat/Poultry Specialty,Albuquerque,BERNALILLO,1527 4th St NW
98.79,Albuquerque,-106.6484333,35.0831211,ALBUQUERQUE CASH & CARRY,Meat/Poultry Specialty,Albuquerque,BERNALILLO,NULL
98.79,Albuquerque,-106.6484333,35.0831211,ALBUQUERQUE CASH & CARRY,Meat/Poultry Specialty,Albuquerque,BERNALILLO,NULL
100,Albuquerque,-106.6485846,35.10041473,ALBUQUERQUE CASH AND CARRY,Supermarket,Albuquerque,BERNALILLO,1102 4th St NW
91.11,Albuquerque,-106.5775816,35.1048522,ALBUQUERQUE GROWERS MARKET,Farmers' Market,Albuquerque,BERNALILLO,7605 CENTRAL
89.34,Albuquerque,-106.5675044,35.07605883,Albuquerque Growers Market,Farmers' Market,Albuquerque,BERNALILLO,Alkazar 109 1/2
100,Albuquerque,-106.5511146,35.13113515,Albuquerque Northeast Farmers And Artisans Market 1324,Farmers' Market,Albuquerque,BERNALILLO,6400 Wyoming Blvd NE
100,Albuquerque,-106.5511146,35.13113515,Albuquerque Northeast Farmers' And Artisans' Marke,Farmers' Market,Albuquerque,BERNALILLO,6400 Wyoming Blvd NE
100,Albuquerque,-106.6183061,35.0773144,Albuquerque Produce Exchange,Combination Grocery/Other,Albuquerque,BERNALILLO,301 Stanford Dr SE
100,Albuquerque,-106.6183061,35.0773144,Albuquerque Produce Exchange Inc,Medium Grocery Store,Albuquerque,BERNALILLO,301 Stanford Dr SE
99.03,Albuquerque,-106.6433394,35.12777342,ALBUQUERQUE TORTILLA CO,Bakery Specialty,Albuquerque,BERNALILLO,6770 4TH ST NW
99.15,Albuquerque,-106.6205617,35.08108041,Albuquerque Uptown Growers Market,Farmers' Market,Albuquerque,BERNALILLO,1203 Central Ave NE
100,Albuquerque,-106.6862812,35.06524368,Albuquerque Wholesale Specialty Products 1,Medium Grocery Store,Albuquerque,BERNALILLO,1720 Bridge Blvd SW
100,Albuquerque,-106.6862812,35.06524368,Albuquerque Wholesale Specialty Products 1,Medium Grocery Store,Albuquerque,BERNALILLO,1720 Bridge Blvd SW
100,Albuquerque,-106.5293204,35.07161784,Aljawadain Market Inc,Small Grocery Store,Albuquerque,BERNALILLO,9012 Central Ave SE
100,Albuquerque,-106.5293204,35.07161784,Aljawadain Market Inc,Small Grocery Store,Albuquerque,BERNALILLO,9012 Central Ave SE
100,Albuquerque,-106.5328236,35.10129528,Aljawadain Market Inc,Small Grocery Store,Albuquerque,BERNALILLO,1716 Eubank Blvd NE
99.19,Albuquerque,-106.5863396,35.14182498,ALL THE AMERICAS,Meat/Poultry Specialty,Albuquerque,BERNALILLO,"6001 SAN MATEO BLVD., NE"
99.03,Albuquerque,-106.6391767,35.13138303,ALLIANT FOODSERVICE 1933,Wholesaler,Albuquerque,BERNALILLO,5600 2ND ST. NW
99.13,Albuquerque,-106.6391767,35.13138303,ALLIANT FOODSERVICE #1933,Wholesaler,Albuquerque,BERNALILLO,5600 2ND STREET NW
100,Albuquerque,-106.5449446,35.07338401,ALLSUPS  141,Medium Grocery Store,Albuquerque,BERNALILLO,9201 Central Ave NE
100,Albuquerque,-106.569396,35.13065725,Alqud's Mediterranean Grill & Grocery,Small Grocery Store,Albuquerque,BERNALILLO,5555 Montgomery Blvd NE
100,Albuquerque,-106.581886,35.06867257,ANDONG ORIENTAL MARKET,Medium Grocery Store,Albuquerque,BERNALILLO,110 Alvarado Dr SE
